Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3d7.(4F<3/2>).4f"	"2[5/2]*"	"3"	7	""	"59952.533"	""	"0.003"	""	""
"3d7.(4F<3/2>).4f"	"2[9/2]*"	"5"	11	""	"59960.482"	""	"0.002"	""	""
"3d7.(4F<3/2>).4f"	"2[9/2]*"	"4"	9	""	"59960.956"	""	"0.003"	""	""
"3d6.4s.(6D<3/2>).6d"	"2[1/2]"	"1"	3	""	"59968.52"	""	"0.02"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[3/2]"	"2"	5	""	"59998.128"	""	"0.005"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[3/2]"	"1"	3	""	"59998.132"	""	"0.014"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[13/2]"	"6"	13	""	"59999.210"	""	"0.004"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[13/2]"	"7"	15	""	"59999.215"	""	"0.007"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[5/2]"	"2"	5	""	"59999.394"	""	"0.006"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[5/2]"	"3"	7	""	"59999.398"	""	"0.005"	""	""
"3d6.4s.(6D<3/2>).6d"	"2[3/2]"	"1"	3	""	"59999.79"	""	"0.03"	""	""
"3d6.4s.(6D<3/2>).6d"	"2[3/2]"	"2"	5	""	"60035.04"	""	"0.03"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[7/2]"	"3"	7	""	"60000.71"	""	"0.02"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[7/2]"	"4"	9	""	"60000.715"	""	"0.007"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[11/2]"	"5"	11	""	"60001.341"	""	"0.004"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[11/2]"	"6"	13	""	"60001.347"	""	"0.004"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[9/2]"	"4"	9	""	"60001.563"	""	"0.007"	""	""
"3d6.4s.(6D<5/2>).5g"	"2[9/2]"	"5"	11	""	"60001.579"	""	"0.004"	""	""
"3d6.4s.(6D<3/2>).6d"	"2[5/2]"	"3"	7	""	"60075.924"	""	"0.012"	""	""
"3d6.4s.(6D<3/2>).6d"	"2[5/2]"	"2"	5	""	"60085.504"	""	"0.016"	""	""
"3d6.(3F2).4s.4p.(1P*)"	"3F*"	"4"	9	""	"60095.599"	""	"0.003"	""	""
"3d6.(3F2).4s.4p.(1P*)"	"3F*"	"3"	7	""	"60172.464"	""	"0.003"	""	""
"3d6.4s.(6D<3/2>).6d"	"2[7/2]"	"3"	7	""	"60097.024"	""	"0.013"	""	""
"3d6.4s.(6D<1/2>).6d"	"2[3/2]"	"2"	5	""	"60128.60"	""	"0.02"	""	""
"3d6.4s.(6D<1/2>).6d"	"2[3/2]"	"1"	3	""	"60178.254"	""	"0.016"	""	""
"3d6.4s.(6D<3/2>).5g"	"2[5/2]"	"2"	5	""	"60192.13"	""	"0.02"	""	""
"3d6.4s.(6D<3/2>).5g"	"2[5/2]"	"3"	7	""	"60192.14"	""	"0.02"	""	""
"3d6.4s.(6D<3/2>).5g"	"2[11/2]"	"5"	11	""	"60193.670"	""	"0.005"	""	""
"3d6.4s.(6D<3/2>).5g"	"2[11/2]"	"6"	13	""	"60193.674"	""	"0.007"	""	""
"3d6.4s.(6D<3/2>).5g"	"2[7/2]"	"4"	9	""	"60196.433"	""	"0.007"	""	""
"3d6.4s.(6D<3/2>).5g"	"2[7/2]"	"3"	7	""	"60196.434"	""	"0.01"	""	""
"3d6.4s.(6D<3/2>).5g"	"2[9/2]"	"4"	9	""	"60197.941"	""	"0.003"	""	""
"3d6.4s.(6D<3/2>).5g"	"2[9/2]"	"5"	11	""	"60197.944"	""	"0.006"	""	""
"3d6.4s.(4D).4d"	"3P"	"1"	3	""	"60215.243"	""	"0.003"	""	""
"3d6.(3F2).4s.4p.(1P*)"	"r 3G*"	"5"	11	""	"60254.170"	""	"0.003"	""	""
"3d6.(3F2).4s.4p.(1P*)"	"r 3G*"	"4"	9	""	"60466.164"	""	"0.004"	""	""
"3d6.(3F2).4s.4p.(1P*)"	"r 3G*"	"3"	7	""	"60563.614"	""	"0.005"	""	""
"3d6.4s.(6D<1/2>).5g"	"2[9/2]"	"5"	11	""	"60309.69"	""	"0.02"	""	""
"3d6.4s.(6D<1/2>).5g"	"2[9/2]"	"4"	9	""	"60309.704"	""	"0.01"	""	""
"3d6.4s.(6D<1/2>).5g"	"2[7/2]"	"4"	9	""	"60309.715"	""	"0.006"	""	""
"3d6.4s.(6D<1/2>).5g"	"2[7/2]"	"3"	7	""	"60309.721"	""	"0.005"	""	""
"3d6.(3H).4s.4p.(1P*)"	"t 3H*"	"6"	13	""	"60365.637"	""	"0.004"	"1.163"	""
"3d6.(3H).4s.4p.(1P*)"	"t 3H*"	"5"	11	""	"60549.116"	""	"0.004"	"1.040"	""
"3d6.(3H).4s.4p.(1P*)"	"t 3H*"	"4"	9	""	"60757.596"	""	"0.003"	"0.805"	""
"3d6.(3F2).4s.4p.(1P*)"	"3D*"	"3"	7	""	"60806.670"	""	"0.003"	""	""
""	"61724e"	"4"	9	""	"61724.829"	""	"0.004"	""	""
""	"62079e"	"6"	13	""	"62079.322"	""	"0.004"	""	""
""	"62192e"	"5"	11	""	"62192.735"	""	"0.01"	""	""
""	"62377e"	"4"	9	""	"62377.66"	""	"0.03"	""	""
"3d6.(3G).4s.4p.(1P*)"	"3H*"	"6"	13	""	"63035.756"	""	"0.005"	""	""
"Fe II (3d6.4s 6D<9/2>)"	"Limit"	"---"		""	"63737.704"	""	"0.010"	""	"L7743c109"
