Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3p6.6d"	"2D"	"5/2"	6	""	"31695.9005"	""	"0.003"	"1.2013"	"L5770"
"3p6.6d"	"2D"	"3/2"	4	""	"31696.1661"	""	"0.003"	"0.7999"	"L5770"
"3p6.8s"	"2S"	"1/2"	2	""	"31765.3767"	""	"0.003"	"2.0028"	"L5770"
"3p6.6f"	"2F*"	"5/2"	6	""	"31953.17"	""	"0.06"	""	"L6096"
"3p6.6f"	"2F*"	"7/2"	8	""	"31953.17"	""	"0.06"	""	"L6096"
"3p6.8p"	"2P*"	"1/2"	2	""	"32227.44"	""	"0.06"	""	"L6096"
"3p6.8p"	"2P*"	"3/2"	4	""	"32230.11"	""	"0.06"	""	"L6096"
"3p6.7d"	"2D"	"5/2"	6	""	"32598.2881"	""	"0.0007"	""	"L5451"
"3p6.7d"	"2D"	"3/2"	4	""	"32598.4437"	""	"0.0007"	""	"L5451"
"3p6.9s"	"2S"	"1/2"	2	""	"32648.3511"	""	"0.0007"	""	"L5451"
"3p6.7f"	"2F*"	"5/2"	6	""	"32764.80"	""	"0.06"	""	"L6096"
"3p6.7f"	"2F*"	"7/2"	8	""	"32764.80"	""	"0.06"	""	"L6096"
"3p6.9p"	"2P*"	"1/2"	2	""	"32940.2030"	""	"0.003"	""	"L5783"
"3p6.9p"	"2P*"	"3/2"	4	""	"32941.9262"	""	"0.003"	""	"L5783"
"3p6.8d"	"2D"	"5/2"	6	""	"33178.1339"	""	"0.0007"	""	"L5451"
"3p6.8d"	"2D"	"3/2"	4	""	"33178.2324"	""	"0.0007"	""	"L5451"
"3p6.10s"	"2S"	"1/2"	2	""	"33214.2267"	""	"0.0007"	""	"L5451"
"3p6.8f"	"2F*"	"5/2"	6	""	"33291.40"	""	"0.06"	""	"L6096"
"3p6.8f"	"2F*"	"7/2"	8	""	"33291.40"	""	"0.06"	""	"L6096"
"3p6.10p"	"2P*"	"1/2"	2	""	"33410.2306"	""	"0.003"	""	"L5783"
"3p6.10p"	"2P*"	"3/2"	4	""	"33411.3986"	""	"0.003"	""	"L5783"
"3p6.9d"	"2D"	"5/2"	6	""	"33572.0592"	""	"0.0007"	""	"L5451"
"3p6.9d"	"2D"	"3/2"	4	""	"33572.1249"	""	"0.0007"	""	"L5451"
"3p6.11s"	"2S"	"1/2"	2	""	"33598.5597"	""	"0.0007"	""	"L5451"
"3p6.9f"	"2F*"	"5/2"	6	""	"33652.32"	""	"0.06"	""	"L6096"
"3p6.9f"	"2F*"	"7/2"	8	""	"33652.32"	""	"0.06"	""	"L6096"
"3p6.11p"	"2P*"	"1/2"	2	""	"33736.4979"	""	"0.003"	""	"L5783"
"3p6.11p"	"2P*"	"3/2"	4	""	"33737.3284"	""	"0.003"	""	"L5783"
"3p6.10d"	"2D"	"5/2"	6	""	"33851.5956"	""	"0.0007"	""	"L5451"
"3p6.10d"	"2D"	"3/2"	4	""	"33851.6418"	""	"0.0007"	""	"L5451"
"3p6.12s"	"2S"	"1/2"	2	""	"33871.4788"	""	"0.0007"	""	"L5451"
"3p6.10f"	"2F*"	"5/2"	6	""	"33910.42"	""	"0.06"	""	"L6096"
"3p6.10f"	"2F*"	"7/2"	8	""	"33910.42"	""	"0.06"	""	"L6096"
"3p6.12p"	"2P*"	"1/2"	2	""	"33972.2064"	""	"0.003"	""	"L5783"
"3p6.12p"	"2P*"	"3/2"	4	""	"33972.8148"	""	"0.003"	""	"L5783"
"3p6.11d"	"2D"	"5/2"	6	""	"34057.0051"	""	"0.0007"	""	"L5451"
"3p6.11d"	"2D"	"3/2"	4	""	"34057.0385"	""	"0.0007"	""	"L5451"
"3p6.13s"	"2S"	"1/2"	2	""	"34072.2393"	""	"0.0007"	""	"L5451"
