Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Leading percentages	Reference
"2p5.3s.(3P*).4p"	"2D"	"3/2"	4	""	"295054"	""	"15"	"                                                                                              "	""
"2p5.3s.(1P*).3d"	"2P*"	"3/2"	4	""	"295294"	""	"7"	"  54                                           or  :    54  2p5.3s.(1P*<1>).3d    2[1]*       "	""
"2p5.3s.(1P*).3d"	"2P*"	"1/2"	2	""	"295526"	""	"7"	"  70                                           or  :    70  2p5.3s.(1P*<1>).3d    2[1]*       "	""
"2p5.3s.(1P*).3d"	"2D*"	"5/2"	6	""	"295740"	""	"90"	"  67                                           or  :    67  2p5.3s.(1P*<1>).3d    2[2]*       "	""
"2p5.3s.(1P*).3d"	"2D*"	"3/2"	4	""	"295749"	""	"14"	"  54                                           or  :    54  2p5.3s.(1P*<1>).3d    2[2]*       "	""
"2p5.3s.(1P*).4p"	"2D"	"5/2"	6	""	"296576"	""	"15"	"                                                                                              "	""
"2p5.3s.(1P*).4p"	"2D"	"3/2"	4	""	"297048"	""	"15"	"                                                                                              "	""
"2p5.3s.(1P*).4p"	"2S"	"1/2"	2	""	"296618"	""	"15"	"                                                                                              "	""
"2p5.3s.(1P*).4p"	"2P"	"3/2"	4	""	"296808"	""	"15"	"                                                                                              "	""
"2p5.3s.(1P*).4p"	"2P"	"1/2"	2	""	"297121"	""	"15"	"                                                                                              "	""
"2p5.3s.(3P*).5s"	"4P*"	"3/2"	4	""	"297074"	""	"7"	"  60                                           or  :    76  2p5.3s.(3P*<2>).5s    2[2]*       "	""
"2p5.3s.(3P*).5s"	"2P*"	"3/2"	4	""	"297645"	""	"7"	"  55                                           or  :    74  2p5.3s.(3P*<1>).5s    2[1]*       "	""
"2p5.3s.(3P*).5s"	"2P*"	"1/2"	2	""	"298350"	""	"7"	"  63                                           or  :    83  2p5.3s.(3P*<0>).5s    2[0]*       "	""
